crab_year,IOPAC,species_group_2_label2,SPGRPN2,num_vessels,total_rev,total_pounds
2017,Crescent City,Non-DTS groundfish,3,5,44222.69,17282.4
2017,Crescent City,Salmon,30,44,354141.425,42127.25
2017,Crescent City,Tuna,35,14,136162.1,100757.5
2018,Crescent City,Crab,25,63,9433474.506,2760543
2018,Crescent City,DTS groundfish,1,3,53236.7,20987.5
2018,Crescent City,Non-DTS groundfish,3,3,74851.58,30012.9
2018,Crescent City,Salmon,30,39,226545.05,38736
2018,Crescent City,Tuna,35,19,217984.932,144691.5
2019,Crescent City,Crab,25,42,4749906.292857143,1377903.8
2019,Crescent City,DTS groundfish,1,6,10848.1,4198.6
2019,Crescent City,Non-DTS groundfish,3,5,54851.71,26794.71
2020,Crescent City,Crab,25,32,606307.6841666667,120058.78
2020,Crescent City,DTS groundfish,1,4,18381.75,6216
2020,Crescent City,Non-DTS groundfish,3,5,73462.4,32712
2020,Crescent City,Other,80,3,794,118
2020,Crescent City,Salmon,30,8,135832,25901
2020,Crescent City,Tuna,35,4,22318.15,12441
2021,Crescent City,Crab,25,43,9358535.65,1883957
2021,Crescent City,DTS groundfish,1,4,74860.68,20239
2021,Crescent City,Non-DTS groundfish,3,3,63318.125,23986.4
2021,Crescent City,Other,80,4,18731.4,18676.7
2021,Crescent City,Prawns/shrimp,20,3,193820,23254
2021,Crescent City,Salmon,30,3,15834.17,1919
2021,Crescent City,Tuna,35,12,224694.90666666668,127074.05
2022,Crescent City,Crab,25,54,10391444.98,4284714.85
2022,Crescent City,DTS groundfish,1,4,100698.48494444444,43755
2022,Crescent City,Non-DTS groundfish,3,3,56540.00214329955,20723.5
2022,Crescent City,Tuna,35,4,20250.75,7830
2017,Eureka,CA halibut/croaker,55,5,2418.5,383.5
2017,Eureka,Crab,25,61,7831695.925,2591979.95
2017,Eureka,DTS groundfish,1,24,1897829.0236922964,2637183.6176
2017,Eureka,Non-DTS groundfish,3,27,832828.9016416667,1157572.8224
2017,Eureka,Other,80,9,17585.183273082625,8564
2017,Eureka,Pacific halibut,50,8,9406.646666666667,1487
2017,Eureka,Salmon,30,58,362872.76497769234,45082.08
2017,Eureka,Skate/dogfish/shark,19,10,41743.140328571426,143750
2017,Eureka,Tuna,35,14,90997.69,52358.2
2018,Eureka,CA halibut/croaker,55,4,743,117
2018,Eureka,Coastal pelagics,45,3,8930.5,13599
2018,Eureka,Crab,25,59,4476844.504,1394039.25
2018,Eureka,DTS groundfish,1,20,1668221.66772,2379495.8244
2018,Eureka,Non-DTS groundfish,3,23,949086.2285452632,1631820.3156
2018,Eureka,Other,80,11,41137.098,62270
2018,Eureka,Pacific halibut,50,8,40756.043,6401.56
2018,Eureka,Pink shrimp,21,3,271370.22000000003,417364
2018,Eureka,Salmon,30,55,137212.7527,22150.47
2018,Eureka,Skate/dogfish/shark,19,11,35139.557,141668
2018,Eureka,Tuna,35,24,282602.2285,158764.8
2019,Eureka,Coastal pelagics,45,3,13477,15957
2019,Eureka,Crab,25,46,3320529.1193333333,979539.45
2019,Eureka,DTS groundfish,1,14,1007295.9048269,2258125.2833
2019,Eureka,Non-DTS groundfish,3,17,453138.9134131,820857.2167
2019,Eureka,Other,80,6,335,6171
2019,Eureka,Pacific halibut,50,5,10749.55,1738.2
2019,Eureka,Salmon,30,12,20156.55,3090.95
2019,Eureka,Skate/dogfish/shark,19,7,17869.655,91381
2019,Eureka,Tuna,35,20,253327.00283333333,139485.87
2019,Eureka,Whiting,2,3,9,9038
2020,Eureka,CA halibut/croaker,55,3,266,44
2020,Eureka,Crab,25,26,779518.5341666667,160008.25
2020,Eureka,DTS groundfish,1,15,1174578.171342,2037837.3828
2020,Eureka,Non-DTS groundfish,3,20,587853.6613442223,938990.7672
2020,Eureka,Other,80,8,1851.22,7605
2020,Eureka,Pacific halibut,50,8,13090.4,2010.8
2020,Eureka,Salmon,30,37,252156.08263157896,42277.3
2020,Eureka,Skate/dogfish/shark,19,6,16411.863,113836
2020,Eureka,Tuna,35,8,194832.34,129100.4
2020,Eureka,Whiting,2,3,0,1767
2021,Eureka,Crab,25,45,6340076.575934371,1269716.2
2021,Eureka,DTS groundfish,1,16,1401389.10439,2255361.6458
2021,Eureka,Non-DTS groundfish,3,21,606311.17561,742111.0542
2021,Eureka,Other,80,8,1860.86538461538,8384
2021,Eureka,Pacific halibut,50,5,16216.1,2341
2021,Eureka,Salmon,30,26,130709.99,18177.73
2021,Eureka,Skate/dogfish/shark,19,7,20511.85,117266
2021,Eureka,Tuna,35,15,161877.285,63334.78
2021,Eureka,Whiting,2,5,0,279
2022,Eureka,Crab,25,48,6209710.4475,2491971.3
2022,Eureka,DTS groundfish,1,17,772450.502292923,1025765.4736
2022,Eureka,Non-DTS groundfish,3,16,318814.2001795816,298214.3764
2022,Eureka,Other,80,7,5309.577130124777,1602
2022,Eureka,Pacific halibut,50,5,61483.25,12176.8
2022,Eureka,Salmon,30,3,113.416666666667,94
2022,Eureka,Skate/dogfish/shark,19,6,18222.7,73656
2022,Eureka,Tuna,35,9,61819.932424242426,22514.5
2022,Eureka,Whiting,2,5,183.5,354
2017,Fort Bragg,Coastal pelagics,45,3,599.75,187.55
2017,Fort Bragg,Crab,25,36,4147029.226,1279515.86
2017,Fort Bragg,DTS groundfish,1,55,799506.54619,741407.0094
2017,Fort Bragg,Non-DTS groundfish,3,39,659672.6363162798,868489.497
2017,Fort Bragg,Other,80,17,213992.7908369231,263940.8536
2017,Fort Bragg,Salmon,30,103,1002892.8675,143959.38
2017,Fort Bragg,Skate/dogfish/shark,19,3,7819.390234234234,27972
2017,Fort Bragg,Tuna,35,10,46553.7,22604.6
2018,Fort Bragg,Coastal pelagics,45,4,390,184.19
2018,Fort Bragg,Crab,25,26,2267189.3983333334,676021.4
2018,Fort Bragg,DTS groundfish,1,47,778900.132889,785152.3321
2018,Fort Bragg,Non-DTS groundfish,3,32,774759.869411,1099472.1479
2018,Fort Bragg,Other,80,13,49058.4,56232
2018,Fort Bragg,Salmon,30,94,686584.9535,107748.97
2018,Fort Bragg,Skate/dogfish/shark,19,5,2321.85,12564.3
2018,Fort Bragg,Tuna,35,20,68300.73,27960.01
2019,Fort Bragg,Coastal pelagics,45,5,273,361
2019,Fort Bragg,Crab,25,25,1482091.2631578948,400679.5
2019,Fort Bragg,DTS groundfish,1,31,566161.9828266667,719332.6923
2019,Fort Bragg,Non-DTS groundfish,3,25,1006250.5872974091,1740776.6177
2019,Fort Bragg,Other,80,5,35.6,393.4
2019,Fort Bragg,Salmon,30,72,1009680.1091666666,143607.97
2019,Fort Bragg,Skate/dogfish/shark,19,3,2362.8,13512
2019,Fort Bragg,Tuna,35,19,102147.6,39515.1
2020,Fort Bragg,Crab,25,27,709646.4162990196,147542.05
2020,Fort Bragg,DTS groundfish,1,31,542410.6658333333,690029.3
2020,Fort Bragg,Non-DTS groundfish,3,28,1048352.6995595238,1710723.2
2020,Fort Bragg,Other,80,5,1145.2,1299.4
