SPID,PACFIN_SPECIES_COMMON_NAME,SPGRPN2
PBNT,PACIFIC BONITO,45
NANC,NORTHERN ANCHOVY,45
UMCK,UNSP. MACKEREL,45
CMCK,CHUB MACKEREL,45
OANC,OTHER ANCHOVY,45
PHLB,PACIFIC HALIBUT,50
UHLB,UNSP. HALIBUT,50
OCRK,OTHER CROAKER,55
CHLB,CALIFORNIA HALIBUT,55
SHP1,NOM. CALIFORNIA SHEEPHEAD,55
WCRK,WHITE CROAKER,55
CHL1,NOM. CALIF HALIBUT,55
UECH,UNSP. ECHINODERM,60
USCU,UNSP. SEA CUCUMBERS,60
OURC,OTHER SEA URCHINS,60
RURC,RED SEA URCHIN,60
UURC,UNSP. SEA URCHINS,60
VCLM,VARNISH CLAM,65
BABL,BLACK ABALONE,65
PRCL,PURPLE CLAM,65
WCLM,WASHINGTON CLAM,65
WABL,WHITE ABALONE,65
PSTR,PACIFIC OYSTER,65
CMSL,CALIFORNIA MUSSEL,65
QCLM,NORTHERN QUAHOG CLAM,65
RABL,RED ABALONE,65
RCLM,RAZOR CLAM,65
UABL,UNSP. ABALONE,65
CKLE,BASKET COCKLE,65
USTR,UNSP. OYSTER,65
RZCL,ROSY RAZOR CLAM,65
SCLM,SOFT-SHELLED CLAM,65
USCL,UNSP. SCALLOP,65
BMSL,BLUE OR BAY MUSSEL,65
UCLM,UNSP. CLAM,65
BCLM,BUTTER CLAM,65
LSTR,OLYMPIA OYSTER,65
GABL,GREEN ABALONE,65
PCLM,PISMO CLAM,65
MCLM,MANILA CLAM,65
GCLM,GAPER CLAM,65
GDUK,GEODUCK,65
EURO,EUROPEAN OYSTER,65
MACL,MUD CLAMS,65
ESTR,EASTERN OYSTER,65
OABL,OTHER ABALONE,65
LCLM,NATIVE LITTLENECK,65
KSTR,KUMAMOTO OYSTER,65
HCLM,HORSE CLAMS,65
PABL,PINK ABALONE,65
JCLM,CALIFORNIA JACKKNIFE CLAM,65
OSCL,OTHER SCALLOP,65
LOBS,CALIFORNIA SPINY LOBSTER,65
MSQD,MARKET SQUID,70
SQID,UNSP. SQUID,70
USRK,UNSP. SHARK,80
UHAG,UNSP. HAGFISH,80
GBAS,GIANT SEA BASS,80
ISRK,BIGEYE THRESHER SHARK,80
UMSK,UNSP. MOLLUSKS,80
MAKO,SHORTFIN MAKO SHARK,80
WSTG,WHITE STURGEON,80
USKT,UNSP. SKATE,80
WBAS,WHITE SEABASS,80
USTG,UNSP. STURGEON,80
GGRD,GIANT GRENADIER,80
MEEL,MONKEYFACE PRICKLEBACK (EEL),80
BSRK,BLUE SHARK,80
ASRK,PACIFIC ANGEL SHARK,80
GREN,PACIFIC GRENADIER,80
KFSH,GIANT KELPFISH,80
WEEL,WOLF EEL,80
SHAD,UNSP. SHAD,80
CUDA,PACIFIC BARRACUDA,80
PROW,PROWFISH,80
OSKT,OTHER SKATES,80
PSRK,PELAGIC THRESHER SHARK,80
OMSK,OTHER MOLLUSKS,80
GSTG,GREEN STURGEON,80
OCTP,UNSP. OCTOPUS,80
OSRK,OTHER SHARK,80
DRDO,DORADO/DOLPHINFISH,80
OBAS,OTHER BASS,80
DTRB,DIAMOND TURBOT,80
TCOD,PACIFIC TOMCOD,80
SCLP,UNSP. SCULPIN,80
MISC,MISC. FISH/ANIMALS,80
EULC,EULACHON,80
CEEL,SPOTTED CUSK-EEL,80
MSHP,PLAINFIN MIDSHIPMAN,80
SHPD,CALIFORNIA SHEEPHEAD,80
SMLT,UNSP. SMELT,80
BTRY,BAT RAY,80
SRFP,SURFPERCH SPP.,80
MSC2,MISC. FISH,80
STRB,SPOTTED TURBOT,80
SWRD,SWORDFISH,80
QFSH,QUEENFISH,80
TSRK,COMMON THRESHER SHARK,80
EELS,UNSP. EELS,80
OPAH,,80
OWFS,,80
PHAG,,80
MOLA,,80
SARY,,80
SSPF,,80
LUVR,,80
WHOO,,80
PBTR,,80
