"year","metier","gear","metier.cm","node_strength","eigen","btwn","btwn_inverted","basic_btwn","deg_norm","pcgroup"
"2004","30",NA,"Salmon","0.868881011603669","1","0.666666666666667","0.666666666666667","0.428571428571429","0.857142857142857","Bodega Bay"
"2004","55",NA,"CA halibut/croaker","0.0668018487918358","0.096335979426347","0","0","0","0.285714285714286","Bodega Bay"
"2004","35",NA,"Tuna","0.68980629998333","0.988694341490344","0","0","0.0952380952380952","0.428571428571429","Bodega Bay"
"2004","60",NA,"Echinoderms","0","8.90645522662548e-20","0","0","0","0","Bodega Bay"
"2004","40",NA,"Herring","0.0922140571275859","0.0908271901050474","0","0","0","0.111111111111111","San Francisco"
"2004","1",NA,"DTS groundfish","0.472597704920717","0.966693486550903","0","0","0.361111111111111","0.666666666666667","San Francisco"
"2004","25",NA,"Crab","0.0274053566907741","0.0291116160542358","0","0","0","0.222222222222222","San Francisco"
"2004","3",NA,"Non-DTS groundfish","0.473230659488559","1","0","0","0.416666666666667","0.444444444444444","San Francisco"
"2004","30",NA,"Salmon","0.364019234646497","0.407993504403863","0.583333333333333","0.583333333333333","0.361111111111111","0.777777777777778","San Francisco"
"2004","55",NA,"CA halibut/croaker","0.389175342242101","0.778408391308654","0.333333333333333","0.333333333333333","0","0.444444444444444","San Francisco"
"2004","19",NA,"Skate/dogfish/shark","0.00949829118880516","0.0186902773415539","0","0","0.527777777777778","0.333333333333333","San Francisco"
"2004","45",NA,"Coastal pelagics","0.0620692854873158","0.0198217085258277","0","0","0","0.222222222222222","San Francisco"
"2004","20",NA,"Prawns/shrimp","0","0","0","0","0","0","San Francisco"
"2004","70",NA,"Squid","0.109790068207645","0.0670239385203556","0.194444444444444","0.194444444444444","0","0.333333333333333","San Francisco"
"2004","60",NA,"Echinoderms","0.0865676461848926","0.135615832139956","0.155555555555556","0.155555555555556","0.155555555555556","0.3","San Diego"
"2004","65",NA,"Shellfish","0.020734033169795","0.00598637008911869","0","0","0","0.1","San Diego"
"2004","35",NA,"Tuna","0.162839936690758","0.326896684989128","0","0","0","0.3","San Diego"
"2004","45",NA,"Coastal pelagics","0","0","0","0","0","0","San Diego"
"2004","80",NA,"Other","0.63232010422649","0.922940678095911","0.288888888888889","0.288888888888889","0.266666666666667","0.6","San Diego"
"2004","55",NA,"CA halibut/croaker","0.69975008329979","1","0.511111111111111","0.511111111111111","0.377777777777778","0.7","San Diego"
"2004","1",NA,"DTS groundfish","0.00710257679703148","0.00771522595237407","0","0","0.422222222222222","0.3","San Diego"
"2004","25",NA,"Crab","0.0292034231165405","0.0621731885858089","0","0","0","0.1","San Diego"
