"Port Group","Year","Edge Density","dataset"
"Los Angeles",2012,0.555555555555556,"Network_Stats"
"Unknown Ports",2012,NA,"Network_Stats"
"Puget Sound",2013,0.305555555555556,"Network_Stats"
"North WA Coast",2013,0.466666666666667,"Network_Stats"
"WA Coast",2013,0.857142857142857,"Network_Stats"
"Other Coastal Washington",2013,0,"Network_Stats"
"Astoria",2013,0.821428571428571,"Network_Stats"
"Tillamook",2013,0.733333333333333,"Network_Stats"
"Columbia River",2013,NA,"Network_Stats"
"Newport",2013,0.809523809523809,"Network_Stats"
"Coos Bay",2013,1,"Network_Stats"
"Brookings",2013,0.9,"Network_Stats"
"Crescent City",2013,0.6,"Network_Stats"
"Eureka",2013,0.533333333333333,"Network_Stats"
"Morro Bay",2013,0.714285714285714,"Network_Stats"
"Fort Bragg",2013,0.619047619047619,"Network_Stats"
"Bodega Bay",2013,1,"Network_Stats"
"San Francisco",2013,0.6,"Network_Stats"
"San Diego",2013,0.733333333333333,"Network_Stats"
"Monterey",2013,0.555555555555556,"Network_Stats"
"Santa Barbara",2013,0.857142857142857,"Network_Stats"
"Los Angeles",2013,0.678571428571429,"Network_Stats"
"Unknown Ports",2013,NA,"Network_Stats"
"Puget Sound",2014,0.305555555555556,"Network_Stats"
"North WA Coast",2014,0.333333333333333,"Network_Stats"
"WA Coast",2014,0.8,"Network_Stats"
"Other Coastal Washington",2014,NA,"Network_Stats"
"Astoria",2014,0.821428571428571,"Network_Stats"
"Tillamook",2014,0.6,"Network_Stats"
"Columbia River",2014,NA,"Network_Stats"
"Newport",2014,0.714285714285714,"Network_Stats"
"Coos Bay",2014,0.714285714285714,"Network_Stats"
"Brookings",2014,0.9,"Network_Stats"
"Crescent City",2014,0.4,"Network_Stats"
"Eureka",2014,0.866666666666667,"Network_Stats"
"Morro Bay",2014,0.476190476190476,"Network_Stats"
"Fort Bragg",2014,0.866666666666667,"Network_Stats"
"Bodega Bay",2014,0.666666666666667,"Network_Stats"
"San Francisco",2014,0.555555555555556,"Network_Stats"
"San Diego",2014,0.714285714285714,"Network_Stats"
"Monterey",2014,0.733333333333333,"Network_Stats"
"Santa Barbara",2014,0.857142857142857,"Network_Stats"
"Los Angeles",2014,0.571428571428571,"Network_Stats"
"Puget Sound",2015,0.305555555555556,"Network_Stats"
"North WA Coast",2015,0.523809523809524,"Network_Stats"
"WA Coast",2015,0.866666666666667,"Network_Stats"
"Other Coastal Washington",2015,NA,"Network_Stats"
"Astoria",2015,0.722222222222222,"Network_Stats"
"Tillamook",2015,0.7,"Network_Stats"
"Columbia River",2015,NA,"Network_Stats"
"Newport",2015,0.607142857142857,"Network_Stats"
"Coos Bay",2015,0.619047619047619,"Network_Stats"
"Brookings",2015,1,"Network_Stats"
"Crescent City",2015,0.833333333333333,"Network_Stats"
"Eureka",2015,0.666666666666667,"Network_Stats"
"Morro Bay",2015,0.355555555555556,"Network_Stats"
"Fort Bragg",2015,0.8,"Network_Stats"
"Bodega Bay",2015,0.6,"Network_Stats"
"San Francisco",2015,0.381818181818182,"Network_Stats"
"San Diego",2015,0.785714285714286,"Network_Stats"
"Monterey",2015,0.642857142857143,"Network_Stats"
"Santa Barbara",2015,0.785714285714286,"Network_Stats"
"Los Angeles",2015,0.583333333333333,"Network_Stats"
"Unknown Ports",2015,0.333333333333333,"Network_Stats"
"Puget Sound",2016,0.277777777777778,"Network_Stats"
"North WA Coast",2016,0.472222222222222,"Network_Stats"
"WA Coast",2016,0.8,"Network_Stats"
"Other Coastal Washington",2016,NA,"Network_Stats"
"Astoria",2016,0.809523809523809,"Network_Stats"
"Tillamook",2016,0.533333333333333,"Network_Stats"
"Columbia River",2016,NA,"Network_Stats"
"Newport",2016,0.952380952380952,"Network_Stats"
"Coos Bay",2016,0.857142857142857,"Network_Stats"
"Brookings",2016,0.809523809523809,"Network_Stats"
"Crescent City",2016,0.666666666666667,"Network_Stats"
"Eureka",2016,0.733333333333333,"Network_Stats"
"Morro Bay",2016,0.422222222222222,"Network_Stats"
"Fort Bragg",2016,0.761904761904762,"Network_Stats"
"Bodega Bay",2016,0.8,"Network_Stats"
"San Francisco",2016,0.571428571428571,"Network_Stats"
"San Diego",2016,0.761904761904762,"Network_Stats"
"Monterey",2016,0.571428571428571,"Network_Stats"
"Santa Barbara",2016,0.821428571428571,"Network_Stats"
"Los Angeles",2016,0.714285714285714,"Network_Stats"
"Unknown Ports",2016,0,"Network_Stats"
"Puget Sound",2017,0.25,"Network_Stats"
"North WA Coast",2017,0.19047619047619,"Network_Stats"
"WA Coast",2017,0.666666666666667,"Network_Stats"
"Astoria",2017,0.733333333333333,"Network_Stats"
"Tillamook",2017,0.8,"Network_Stats"
"Columbia River",2017,NA,"Network_Stats"
"Newport",2017,0.722222222222222,"Network_Stats"
"Coos Bay",2017,0.571428571428571,"Network_Stats"
"Brookings",2017,0.9,"Network_Stats"
"Crescent City",2017,0.533333333333333,"Network_Stats"
"Eureka",2017,0.8,"Network_Stats"
"Morro Bay",2017,0.523809523809524,"Network_Stats"
"Fort Bragg",2017,0.8,"Network_Stats"
"Bodega Bay",2017,0.8,"Network_Stats"
"San Francisco",2017,0.533333333333333,"Network_Stats"
"San Diego",2017,0.821428571428571,"Network_Stats"
"Monterey",2017,0.555555555555556,"Network_Stats"
"Santa Barbara",2017,0.857142857142857,"Network_Stats"
"Los Angeles",2017,0.666666666666667,"Network_Stats"
"Unknown Ports",2017,0.388888888888889,"Network_Stats"
