"y","N","E","avg_ew","sd_ew","med_ew","max_ew","avg_ew_scaled","sd_ew_scaled","med_ew_scaled","deg_max","deg_min","strength_mean","assort","ed","ld","mean_deg","nc","nc_weighted","m","m_weighted","beta_eff","state"
2011,2,1,NA,NA,NA,0,NA,NA,NA,1,1,1,NA,1,0.5,1,NA,NA,-0.5,-0.5,NA,"C"
2011,5,10,1242774.32666524,948800.495340541,817582.273677532,3252721.13259212,0.1,0.0763453569149977,0.0657868654135593,1,1,0.4,NA,1,2,4,0,0.328369634590598,-0.2,-0.236789176303204,1967139.45124425,"O"
2011,2,1,NA,NA,NA,0,NA,NA,NA,1,1,1,NA,1,0.5,1,NA,NA,-0.5,-0.5,NA,"W"
2012,2,1,NA,NA,NA,0,NA,NA,NA,1,1,1,NA,1,0.5,1,NA,NA,-0.5,-0.5,NA,"C"
2012,4,6,1770210.44081152,1270678.13150894,1509893.48999366,3531208.21801667,0.166666666666667,0.119635317757892,0.142157626685096,1,1,0.5,NA,1,1.5,3,0,0.404419623532576,-0.25,-0.284624095268589,2682318.33299797,"O"
2012,3,3,3361441.80018486,2426610.21039125,3279627.89789307,5827924.34842496,0.333333333333333,0.240631883046713,0.325220356109563,1,1,0.666666666666667,NA,1,1,2,0,0.532063796065983,-0.333333333333333,-0.362285184902637,5113201.15322534,"W"
2013,2,1,NA,NA,NA,0,NA,NA,NA,1,1,1,NA,1,0.5,1,NA,NA,-0.5,-0.5,NA,"C"
2013,4,6,2047076.04205614,1530150.03488309,1769691.29903961,4673986.97114106,0.166666666666667,0.124580133114007,0.144082849772244,1,1,0.5,NA,1,1.5,3,0,0.384674958900063,0,0,3190833.81223697,"O"
2013,3,3,3140555.97526782,2096668.99530287,3548430.46277288,5003318.92208387,0.333333333333333,0.222536923590848,0.376624445981021,1,1,0.666666666666667,NA,1,1,2,0,0.54225369302504,-0.333333333333333,-0.358094674513973,4540314.77927686,"W"
2014,2,1,NA,NA,NA,0,NA,NA,NA,1,1,1,NA,1,0.5,1,NA,NA,-0.5,-0.5,NA,"C"
2014,3,3,3238596.70359709,1915488.04781928,2476121.55465289,5417907.74619289,0.333333333333333,0.197152061332794,0.254855397905588,1,1,0.666666666666667,NA,1,1,2,0,0.32811338289156,-0.333333333333333,-0.352767800977218,4371523.95485479,"O"
2014,3,3,4280678.4287161,2520885.29624295,3988157.62111348,6935062.90433952,0.333333333333333,0.196299514841081,0.310554949604849,1,1,0.666666666666667,NA,1,1,2,0,0.413812385236071,0,0,5765224.11058362,"W"
2015,3,3,1645637.88035783,1197290.59579265,2164423.37442291,2496042.85324286,0.333333333333333,0.242518035120482,0.438416292400909,1,1,0.666666666666667,NA,1,1,2,0,0.624009001293346,-0.333333333333333,-0.362740832012683,2516731.56863742,"C"
2015,3,3,3012389.84628413,2051719.31248518,3524542.3647303,4759517.76677203,0.333333333333333,0.227031185335682,0.390005117152851,1,1,0.666666666666667,NA,1,1,2,0,0.562497025838379,-0.333333333333333,-0.359104912890796,4409802.64875299,"O"
2015,2,1,NA,NA,NA,0,NA,NA,NA,1,1,1,NA,1,0.5,1,NA,NA,-0.5,-0.5,NA,"W"
2016,2,1,NA,NA,NA,0,NA,NA,NA,1,1,1,NA,1,0.5,1,NA,NA,-0.5,-0.5,NA,"C"
2016,3,3,2987960.24721815,2111541.15522825,3754801.72982916,4608927.60596535,0.333333333333333,0.235561049514647,0.418881267839819,1,1,0.666666666666667,NA,1,1,2,0,0.599357582714154,0,0,4480150.79907496,"O"
2016,2,1,NA,NA,NA,0,NA,NA,NA,1,1,1,NA,1,0.5,1,NA,NA,-0.5,-0.5,NA,"W"
2017,2,1,NA,NA,NA,0,NA,NA,NA,1,1,1,NA,1,0.5,1,NA,NA,-0.5,-0.5,NA,"C"
2017,3,3,3870640.25182044,2938668.52533324,4255561.36796695,6597879.93564577,0.333333333333333,0.253073422323445,0.366482122775896,1,1,0.666666666666667,NA,1,1,2,0,0.603032172489058,-0.333333333333333,-0.365356411876584,6101736.95416126,"O"
2017,3,3,3096126.50734762,2454430.2184812,3793624.47192626,5126316.39343012,0.333333333333333,0.264247408566417,0.408426944971764,1,1,0.666666666666667,NA,1,1,2,0,0.660750096335182,-0.333333333333333,-0.368246679800367,5041856.98156991,"W"
2018,3,3,2011944.77741252,1361805.97350792,2113886.42917247,3319915.24320383,0.333333333333333,0.225620170890787,0.350222738533782,1,1,0.666666666666667,NA,1,1,2,0,0.525578087447984,-0.333333333333333,-0.358785564089727,2933697.46680138,"C"
2018,4,6,2476585.05979044,2128320.77719141,2079661.64064197,5646149.091783,0.166666666666667,0.143229536223527,0.139954923845684,1,1,0.5,NA,1,1.5,3,0,0.486519422422316,0,0,4305615.44690257,"O"
2018,2,1,NA,NA,NA,0,NA,NA,NA,1,1,1,NA,1,0.5,1,NA,NA,-0.5,-0.5,NA,"W"
2019,2,1,NA,NA,NA,0,NA,NA,NA,1,1,1,NA,1,0.5,1,NA,NA,-0.5,-0.5,NA,"C"
2019,3,3,3974408.29667572,2749158.61400694,5410209.05566265,5708390.91201255,0.333333333333333,0.23057173200737,0.453753838039897,1,1,0.666666666666667,NA,1,1,2,0,0.598161374796665,-0.333333333333333,-0.359914995133773,5876043.0862594,"O"
2019,2,1,NA,NA,NA,0,NA,NA,NA,1,1,1,NA,1,0.5,1,NA,NA,-0.5,-0.5,NA,"W"
