"y","N","E","avg_ew","sd_ew","med_ew","max_ew","avg_ew_scaled","sd_ew_scaled","med_ew_scaled","deg_max","deg_min","strength_mean","assort","ed","ld","mean_deg","nc","nc_weighted","m","m_weighted","beta_eff","state"
2007,10,27,445509.561980079,773780.411177154,55988.0014887937,2852498.07317762,0.037037037037037,0.06432753905422,0.00465451218499966,0.888888888888889,0,0.2,-0.367763157894737,0.6,2.7,5.4,0.361111111111111,0.257763352263018,0,-4.44089209850063e-16,1789445.08170358,"O"
2007,11,28,196169.144538088,304547.206769902,46651.6138424572,1179789.71713066,0.0357142857142857,0.0554454472525681,0.00849332890616012,0.9,0,0.181818181818182,-0.383107088989442,0.509090909090909,2.54545454545455,5.09090909090909,0.477777777777778,0.342554240911521,-0.112244897959184,-0.205197408560947,668970.315026659,"W"
2008,14,60,207781.034335087,777226.463431544,27473.3426704154,5870122.04289868,0.0166666666666667,0.0623433915996168,0.0022037095251364,1,0.153846153846154,0.142857142857143,-0.333903377511757,0.659340659340659,4.28571428571429,8.57142857142857,0.397435897435897,0.221282592154351,0.00611111111111114,0.471602651677447,3115077.06061296,"C"
2008,10,22,528422.848415398,834660.702580355,105064.544240432,3057974.69179979,0.0454545454545455,0.0717969008310884,0.00903757495755298,0.777777777777778,0,0.2,-0.435210008936549,0.488888888888889,2.2,4.4,0.361111111111111,0.288642137099771,-0.131198347107438,-0.225515908033509,1846795.9856123,"O"
2008,10,21,204280.3611164,270723.336987413,63967.8962653241,1009317.19059173,0.0476190476190476,0.063107326642356,0.0149113222715183,0.777777777777778,0,0.2,-0.368888888888889,0.466666666666667,2.1,4.2,0.388888888888889,0.284022160966956,-0.0317460317460317,0.184831555310905,563057.508312839,"W"
2009,12,47,155479.012644835,319746.61883571,52838.9112201043,1996348.78100582,0.0212765957446809,0.0437558705446407,0.00723076468325248,1,0.363636363636364,0.166666666666667,-0.414874778649129,0.712121212121212,3.91666666666667,7.83333333333333,0.345454545454545,0.260218717982495,0.03168854685378,0.178383770254119,813046.220705346,"C"
2009,9,14,878763.271994069,1238438.91281981,433150.076069125,4339616.53875424,0.0714285714285714,0.100664109622539,0.0352077654287803,0.75,0,0.222222222222222,-0.483870967741936,0.388888888888889,1.55555555555556,3.11111111111111,0.464285714285714,0.307517941499494,-0.0433673469387756,0.0336867814520961,2624092.17872682,"O"
2009,11,24,255267.895939387,318268.053592667,93817.0048760373,1058934.05540889,0.0416666666666667,0.0519500066817775,0.0153134880336189,0.9,0,0.181818181818182,-0.505571605447793,0.436363636363636,2.18181818181818,4.36363636363636,0.566666666666667,0.358286334196976,-0.120659722222222,-0.20993711994711,652084.556197035,"W"
2010,12,50,216927.143090329,486526.727764086,55863.5128070526,2819923.83414502,0.02,0.0448562333724641,0.00515044009811081,1,0.363636363636364,0.166666666666667,-0.379310344827586,0.757575757575758,4.16666666666667,8.33333333333333,0.290909090909091,0.323365055028293,0.0398000000000001,0.148866019935682,1308114.96521669,"C"
2010,8,16,978401.464633607,1386060.13503979,369677.952223186,4138752.53142778,0.0625,0.0885411168843945,0.0236149196920933,0.857142857142857,0,0.25,-0.433691756272401,0.571428571428571,2,4,0.380952380952381,0.350045243987468,0,0.0275469115938544,2941974.46343933,"O"
2010,10,22,289439.166534928,403643.647583067,57598.1015652732,1502973.31915549,0.0454545454545455,0.0633896191249879,0.00904540859841891,0.888888888888889,0,0.2,-0.303839732888145,0.488888888888889,2.2,4.4,0.5,0.404823607521701,0,8.88178419700125e-16,852349.14235018,"W"
2011,13,57,320930.5297951,835266.446728764,47423.3143424903,4124078.75399561,0.0175438596491228,0.0456603406362952,0.00259242388516939,1,0.333333333333333,0.153846153846154,-0.391427760431448,0.730769230769231,4.38461538461539,8.76923076923077,0.318181818181818,0.275655186002224,0.00907971683594955,0.339985295719139,2494827.90713819,"C"
2011,9,24,665803.340270252,961204.36652251,308623.507912935,3568086.02518084,0.0416666666666667,0.0601531706377163,0.019313980648529,0.875,0.125,0.222222222222222,-0.307068366164541,0.666666666666667,2.66666666666667,5.33333333333333,0.267857142857143,0.298224876979758,-0.0651041666666667,0.0373787124008879,2053471.10692177,"O"
2011,10,22,278099.275570264,431909.95974446,92186.6401777554,1893513.55039867,0.0454545454545455,0.0705944697526377,0.0150676473991853,0.888888888888889,0,0.2,-0.411877394636019,0.488888888888889,2.2,4.4,0.5,0.387508098021281,0,0,948889.276529216,"W"
2012,12,52,282319.969641913,878651.65247554,44645.8743954913,6086127.74030712,0.0192307692307692,0.0598510519267306,0.00304113984106259,1,0.454545454545455,0.166666666666667,-0.426900584795322,0.787878787878788,4.33333333333333,8.66666666666667,0.254545454545455,0.389093105300432,-0.0889423076923077,-0.221728084846175,3016907.70488862,"C"
2012,8,24,711519.489672707,1107404.10576249,205136.970963973,4755983.74064775,0.0416666666666667,0.0648497172738426,0.0120128456271764,1,0.571428571428571,0.25,-0.327868852459018,0.857142857142857,3,6,0.19047619047619,0.325259697792194,-0.0737847222222222,0.028520647009499,2435075.72567087,"O"
2012,10,21,302418.694279227,428340.781950051,89960.0303197762,1631591.46402312,0.0476190476190476,0.0674468228277799,0.0141651658731556,0.888888888888889,0,0.2,-0.450083194675542,0.466666666666667,2.1,4.2,0.527777777777778,0.409872732511952,-0.130385487528345,-0.242836611172618,909113.415711281,"W"
2013,12,51,260456.27525532,600151.932685264,54353.5499413209,3681068.55372494,0.0196078431372549,0.0451810383262119,0.00409188022119118,1,0.363636363636364,0.166666666666667,-0.363324318701891,0.772727272727273,4.25,8.5,0.272727272727273,0.340240689687716,0.00980392156862742,0.134909697877319,1643346.13633768,"C"
2013,9,30,615777.416995844,1028487.31749413,87652.1797512099,4686790.87076859,0.0333333333333333,0.0556741927146202,0.00474479778634047,1,0.5,0.222222222222222,-0.291989664082692,0.833333333333333,3.33333333333333,6.66666666666667,0.214285714285714,0.300205167130705,-0.045,0.16061123420305,2333583.45055717,"O"
2013,10,23,289247.969444152,444533.389382653,83416.8849433969,1729424.46388525,0.0434782608695652,0.0668199631822921,0.0125387953162305,0.777777777777778,0.111111111111111,0.2,0.0207684319833878,0.511111111111111,2.3,4.6,0.333333333333333,0.43893757187624,-0.11531190926276,-0.235979099552237,972433.177816666,"W"
2014,13,65,247875.349608395,542999.258428096,41801.4886406846,2659904.82410806,0.0153846153846154,0.0337017567831791,0.00259444848492317,1,0.333333333333333,0.153846153846154,-0.30946601941748,0.833333333333333,5,10,0.196969696969697,0.235371512915743,-0.0199999999999999,0.348011848351434,1437377.23077277,"C"
2014,9,28,586670.844893216,959573.176799027,95915.8892806621,3954589.87351229,0.0357142857142857,0.0584151588548824,0.00583899388239222,1,0.5,0.222222222222222,-0.276139410187667,0.777777777777778,3.11111111111111,6.22222222222222,0.285714285714286,0.238503863490217,-0.0204081632653061,0.0739465349944463,2156172.19244999,"O"
2014,10,23,251001.771472123,499859.493462299,19182.7428668862,1934914.37732053,0.0434782608695652,0.0865851317599021,0.0033228143915825,0.888888888888889,0,0.2,-0.292380952380951,0.511111111111111,2.3,4.6,0.472222222222222,0.431805144321813,0.0103969754253308,0.00525820002771037,1246450.97383816,"W"
2015,13,58,104634.828046846,218739.234186676,24329.3576650167,1148136.09829193,0.0172413793103448,0.0360431242356357,0.00400891072035593,1,0.416666666666667,0.153846153846154,-0.26522678185745,0.743589743589744,4.46153846153846,8.92307692307692,0.303030303030303,0.221495497407806,-0.00356718192627803,0.243864989829673,561909.460840741,"C"
2015,8,23,652722.5747005,1160378.14381057,192409.524608676,4658180.52239816,0.0434782608695652,0.0772935173371127,0.0128165193437098,1,0.571428571428571,0.25,-0.386934673366831,0.821428571428571,2.875,5.75,0.238095238095238,0.342346436272178,-0.0075614366729679,0.0457992825760294,2715585.86275377,"O"
2015,11,25,175112.199825979,278553.521408425,33876.7113848167,984927.838989754,0.04,0.06362858137474,0.00773828697680286,0.8,0,0.181818181818182,-0.0833333333333315,0.454545454545455,2.27272727272727,4.54545454545455,0.422222222222222,0.389552006182446,-0.112,-0.222976635382364,618211.334929887,"W"
2016,12,56,169061.441154972,322514.35732553,41465.1780764934,1451773.72093631,0.0178571428571429,0.0340656326652415,0.0043797663349508,1,0.363636363636364,0.166666666666667,-0.258426966292126,0.848484848484849,4.66666666666667,9.33333333333333,0.181818181818182,0.192819512386901,-0.0269451530612246,0.276044702527089,784314.156206378,"C"
2016,9,24,714512.613856081,1204458.64133948,134991.026889628,4393731.60542501,0.0416666666666667,0.0702377757218812,0.00787197596141261,1,0.125,0.222222222222222,-0.448092280390414,0.666666666666667,2.66666666666667,5.33333333333333,0.428571428571429,0.340163201297825,0,8.88178419700125e-16,2744876.51585651,"O"
2016,10,23,299681.637336756,425874.144508443,34087.1389929271,1386184.9675325,0.0434782608695652,0.0617864588471067,0.00494541318781644,0.777777777777778,0.111111111111111,0.2,0.103420843277646,0.511111111111111,2.3,4.6,0.333333333333333,0.413511247252819,-0.0217391304347826,0.150647523388607,904886.509322263,"W"
2017,13,58,260866.578071405,535268.600752554,45447.7856551449,2459363.31261404,0.0172413793103448,0.0353773528472712,0.00300376735528427,1,0.0833333333333333,0.153846153846154,-0.329061073890664,0.743589743589744,4.46153846153846,8.92307692307692,0.303030303030303,0.276737349261611,-0.0260107015457789,0.268378092701016,1359176.97517092,"C"
2017,10,24,961120.68735274,1770035.8344786,115426.194226617,7565847.08526707,0.0416666666666667,0.0767348929991428,0.00500397590305665,0.888888888888889,0,0.2,-0.448092280390414,0.533333333333333,2.4,4.8,0.444444444444444,0.315681530945462,-0.129340277777778,-0.226087977357084,4220884.93607348,"O"
2017,11,21,311383.498278873,388354.852715657,84209.3073062049,1175943.22604306,0.0476190476190476,0.0593900714931039,0.0128779046954822,0.9,0.1,0.181818181818182,-0.277960526315789,0.381818181818182,1.90909090909091,3.81818181818182,0.633333333333333,0.416579581023428,-0.0385487528344672,0.134491500006176,795736.370095885,"W"
2018,13,67,254527.966411099,654871.97496927,42269.0818907649,4652432.91277601,0.0149253731343284,0.0384013148710117,0.00247863458055601,1,0.416666666666667,0.153846153846154,-0.310178366879395,0.858974358974359,5.15384615384615,10.3076923076923,0.166666666666667,0.266596944756388,-0.0261750946758744,0.180998074179765,1939440.27544785,"C"
2018,9,21,1057174.72054721,1573166.31854523,381871.266178157,6070609.51193286,0.0476190476190476,0.070861211850309,0.0172008899333793,0.75,0,0.222222222222222,NA,0.583333333333333,2.33333333333333,4.66666666666667,0.214285714285714,0.238261060005128,-0.0680272108843538,0.127221352863842,3398180.62780551,"O"
2018,11,26,222964.692031648,351259.770410017,35247.212933431,1263388.74924128,0.0384615384615385,0.0605925137586287,0.00608016463749681,0.7,0.1,0.181818181818182,0.26144927536232,0.472727272727273,2.36363636363636,4.72727272727273,0.277777777777778,0.383267678060305,-0.0436390532544378,0.16012870485498,776341.216288613,"W"
2019,12,55,254267.919923073,602033.004733519,57672.5600565123,3892113.57996166,0.0181818181818182,0.0430492947550371,0.00412396499465895,1,0.272727272727273,0.166666666666667,-0.241172858458702,0.833333333333333,4.58333333333333,9.16666666666667,0.2,0.259680980176089,-0.0114049586776859,0.271833535471093,1679708.21493994,"C"
2019,10,19,810761.47576196,1598012.53917111,57936.5612223916,6529803.97563819,0.0526315789473684,0.10373695054421,0.00376102317028519,0.777777777777778,0,0.2,-0.433962264150945,0.422222222222222,1.9,3.8,0.444444444444444,0.284178367119813,-0.0789473684210527,0.233692341590418,3960447.48291733,"O"
2019,9,22,173088.716882602,307202.494318161,33859.3489174749,1226340.87692497,0.0454545454545455,0.0806739456691768,0.00889174835974172,1,0.25,0.222222222222222,-0.242592592592591,0.611111111111111,2.44444444444444,4.88888888888889,0.5,0.424449565837249,-0.012396694214876,0.152265504885372,718319.938275898,"W"
